,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
0,25-Jun-2018,Boating,USA,Paddling,F,N,2018
1,18-Jun-2018,Unprovoked,USA,Standing,F,N,2018
2,09-Jun-2018,Invalid,USA,Surfing,M,N,2018
3,08-Jun-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
5,03-Jun-2018,Unprovoked,AUSTRALIA,Kite surfing,M,N,2018
7,27-May-2018,Unprovoked,USA,Fishing,M,N,2018
8,26-May-2018,Unprovoked,USA,Walking,M,N,2018
9,26-May-2018,Unprovoked,USA,Standing,M,N,2018
10,24-May-2018,Provoked,AUSTRALIA,Feeding sharks,M,N,2018
11,21-May-2018,Unprovoked,USA,Boogie boarding,M,N,2018
12,13-May-2018,Unprovoked,USA,Swimming,M,N,2018
14,May 2018,Provoked,AUSTRALIA,Feeding sharks,F,N,2018
15,12-May-2018,Unprovoked,SOUTH AFRICA,Surfing,M,N,2018
19,28-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
21,25-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
22,24-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
24,22-Apr-2018,Unprovoked,SOUTH AFRICA,Paddle-skiing,M,N,2018
25,19-Apr-2018,Unprovoked,USA,Body boarding,M,N,2018
28,15-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
34,03-Apr-2018,Unprovoked,SOUTH AFRICA,Surfing,M,N,2018
35,31-Mar-2018,Unprovoked,USA,Stand-Up Paddleboarding,M,N,2018
36,14-Mar-2018,Unprovoked,AUSTRALIA,Wading,M,N,2018
37,9-Mar-2018,Unprovoked,AUSTRALIA,Swimming,M,N,2018
38,9-Mar-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
39,24-Feb-2018,Unprovoked,SOUTH AFRICA,Scuba Diving,M,N,2018
40,23-Feb-2018,Unprovoked,AUSTRALIA,Swimming,F,N,2018
41,18-Feb-2018,Provoked,AUSTRALIA,Kayak fishing for sharks,M,N,2018
42,15-Feb-2018,Unprovoked,AUSTRALIA,Walking,M,N,2018
43,14-Feb-2018,Invalid,AUSTRALIA,Swimming,F,N,2018
46,01-Feb-2018,Invalid,AUSTRALIA,Spearfishing,M,N,2018
47,28-Jan-2018,Unprovoked,AUSTRALIA,,M,N,2018
49,14-Jan-2018,Unprovoked,AUSTRALIA,Diving,M,N,2018
50,13-Jan-2018,Unprovoked,AUSTRALIA,Free diving,M,N,2018
52,05-Jan-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
53,31-Dec-2017,Unprovoked,USA,Surfing,F,N,2017
54,30-Dec-2017,Unprovoked,USA,Surfing,F,N,2017
60,24-Nov-2017,Unprovoked,USA,Spearfishing,M,N,2017
61,18-Nov-2017,Unprovoked,USA,Surfing,F,N,2017
63,13-Nov-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
65,31-Oct-2017,Unprovoked,AUSTRALIA,Snorkeling,M,N,2017
66,28-Oct-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
67,26-Oct-2017,Unprovoked,USA,Stand-Up Paddleboarding,M,N,2017
69,23-Oct-2017,Unprovoked,USA,Surfing ,M,N,2017
70,23-Oct-2017,Unprovoked,USA,Swimming,F,N,2017
71,22-Oct-2017,Unprovoked,AUSTRALIA,Kayaking / Fishing,F,N,2017
73,18-Oct-2017,Unprovoked,USA,Swimming,M,N,2017
74,09-Oct-2017,Unprovoked,USA,Surfing,M,N,2017
75,05-Oct-2017,Unprovoked,USA,Snorkeling,F,N,2017
76,01-Oct-2017,Invalid,SOUTH AFRICA,Scuba Diving,M,,2017
77,25-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
78,25-Sep-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
79,24-Sep-2017,Invalid,USA,Surfing,M,,2017
80,24-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
81,20-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
83,16-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
84,15-Sep-2017,Invalid,SOUTH AFRICA,Scuba Diving,M,,2017
87,13-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
88,10-Sep-2017,Unprovoked,AUSTRALIA,Swimming,M,N,2017
89,10-Sep-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
91,03-Sep-2017,Unprovoked,SOUTH AFRICA,"Swimming, poaching abalone",M,Y,2017
93,02-Sep-2017,Unprovoked,USA,Swimming,M,N,2017
94,02-Sep-2017,Unprovoked,USA,Swimming,F,N,2017
95,02-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
96,29-Aug-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
97,27-Aug-2017,Unprovoked,USA,Wading,F,N,2017
100,23-Aug-2017,Unprovoked,USA,SUP,M,N,2017
102,10-Aug-2017,Unprovoked,USA,Swimming,M,N,2017
104,03-Aug-2017,Provoked,USA,Fishing,M,N,2017
105,01-Aug-2017,Boating,USA,Kayaking / Fishing,M,N,2017
106,31-Jul-2017,Unprovoked,USA,Skimboarding,M,N,2017
107,29-Jul-2017,Invalid,USA,Swimming,M,,2017
108,29-Jul-2017,Unprovoked,USA,,F,N,2017
112,23-Jul-2017,Unprovoked,USA,,F,N,2017
114,22-Jul-2017,Unprovoked,USA,,F,N,2017
